State,Incident Date,# Killed,# Injured
Pennsylvania,"February 29, 2020",0,4
Missouri,"February 29, 2020",1,4
Wisconsin,"February 26, 2020",6,0
Illinois,"February 25, 2020",1,4
Louisiana,"February 25, 2020",0,6
Texas,"February 23, 2020",0,7
North Carolina,"February 23, 2020",3,1
Idaho,"February 20, 2020",2,3
North Carolina,"February 20, 2020",0,4
Mississippi,"February 17, 2020",2,2
Florida,"February 16, 2020",1,4
Connecticut,"February 16, 2020",1,5
Tennessee,"February 15, 2020",0,7
Louisiana,"February 15, 2020",0,4
Illinois,"February 14, 2020",0,6
Delaware,"February 10, 2020",1,4
Ohio,"February 9, 2020",3,2
Texas,"February 8, 2020",1,3
Indiana,"February 5, 2020",4,0
California,"February 3, 2020",1,5
Maine,"February 3, 2020",3,1
Mississippi,"February 1, 2020",0,4
California,"January 31, 2020",1,4
Florida,"January 31, 2020",1,3
Louisiana,"January 31, 2020",0,4
California,"January 30, 2020",0,4
Connecticut,"January 27, 2020",0,4
Missouri,"January 26, 2020",0,5
South Carolina,"January 26, 2020",3,3
New York,"January 26, 2020",3,1
North Carolina,"January 26, 2020",0,6
North Carolina,"January 24, 2020",5,0
Washington,"January 22, 2020",1,7
Tennessee,"January 19, 2020",1,4
Texas,"January 19, 2020",2,5
Missouri,"January 19, 2020",2,15
Texas,"January 19, 2020",2,2
Utah,"January 17, 2020",4,1
Illinois,"January 16, 2020",0,5
Colorado,"January 11, 2020",0,5
Mississippi,"January 8, 2020",2,2
Georgia,"January 5, 2020",0,4
Florida,"January 4, 2020",1,3
New York,"January 2, 2020",0,4
Ohio,"January 1, 2020",0,4
West Virginia,"January 1, 2020",0,7
Missouri,"January 1, 2020",3,2
Illinois,"December 29, 2019",0,5
New York,"December 29, 2019",1,3
California,"December 29, 2019",0,5
California,"December 27, 2019",1,3
Georgia,"December 27, 2019",0,4
Texas,"December 27, 2019",2,7
Florida,"December 26, 2019",0,5
California,"December 25, 2019",0,4
Iowa,"December 25, 2019",1,3
Virginia,"December 25, 2019",1,3
Louisiana,"December 24, 2019",0,4
Illinois,"December 24, 2019",0,5
North Carolina,"December 24, 2019",0,6
Maryland,"December 22, 2019",0,7
Minnesota,"December 22, 2019",1,7
Illinois,"December 22, 2019",0,13
Louisiana,"December 21, 2019",0,4
Mississippi,"December 20, 2019",1,6
Alabama,"December 20, 2019",2,2
Texas,"December 18, 2019",0,4
Montana,"December 17, 2019",4,1
Georgia,"December 15, 2019",1,4
California,"December 14, 2019",0,4
Missouri,"December 12, 2019",1,3
New Jersey,"December 10, 2019",6,3
Texas,"December 8, 2019",2,3
Louisiana,"December 8, 2019",1,4
Florida,"December 6, 2019",4,8
Alabama,"December 4, 2019",2,2
Louisiana,"December 1, 2019",2,3
Louisiana,"December 1, 2019",2,2
Illinois,"December 1, 2019",1,4
Michigan,"December 1, 2019",1,3
Louisiana,"December 1, 2019",0,12
Arkansas,"November 30, 2019",0,5
Texas,"November 29, 2019",0,7
New York,"November 27, 2019",0,5
Florida,"November 25, 2019",2,2
Alabama,"November 24, 2019",1,4
California,"November 24, 2019",0,6
Louisiana,"November 24, 2019",2,2
California,"November 23, 2019",0,4
Louisiana,"November 23, 2019",1,6
California,"November 21, 2019",0,5
Washington,"November 21, 2019",0,4
California,"November 20, 2019",0,4
New Jersey,"November 18, 2019",1,4
California,"November 17, 2019",4,6
Ohio,"November 17, 2019",0,4
